tenid,region,longitude,latitude
E  0801060 ,Pilbara,116.009671989564,-21.741010849321693
E  0801135 ,Pilbara,116.04988346435236,-22.048562613137225
E  0802740 ,Pilbara,115.96090866473676,-21.238976238304932
E  0801148 ,Pilbara,115.98705836218733,-21.79983889169543
E  0800117 ,Pilbara,116.10512919133399,-21.406005907666806
E  0800118 ,Pilbara,116.1716304937658,-21.37709588017038
E  0801196 ,Pilbara,115.80702122253415,-21.695700019671722
P  4502980 ,Pilbara,119.84181354592009,-21.31713832125946
E  0801227 ,Pilbara,116.1755453603247,-22.086374389190862
E  0801283 ,Pilbara,116.16107291832857,-22.27103524960585
E  0801289 ,Pilbara,116.06648378321051,-21.920470704208057
E  0801292 ,Pilbara,116.0525367888605,-22.3880392696814
E  0803036 ,Pilbara,115.22500040122452,-22.49999931147417
E  0801293 ,Pilbara,116.06918243896429,-21.688492967783787
E  0801294 ,Pilbara,116.14583855379232,-21.94150083753513
E  0801295 ,Pilbara,116.10944432152058,-22.14833604949994
E  0801331 ,Pilbara,116.11238299121337,-21.225451313066678
E  0801341 ,Pilbara,116.2056460349193,-22.235249635329126
E  0801393 ,Pilbara,116.63606787391622,-22.737995251479568
E  0801414 ,Pilbara,116.05539245100785,-21.09144787888457
E  0801430 ,Pilbara,116.1281147219992,-22.09426239138236
E  0801440 ,Pilbara,116.1758772909978,-21.88288996637314
E  0801451 ,Pilbara,116.03360988963318,-21.259642037612235
E  0801480 ,Pilbara,115.20704044789817,-22.444738743126454
P  4502981 ,Pilbara,119.80703375116623,-21.294251770567534
E  0801489 ,Pilbara,115.1311802992702,-22.365620119713345
E  0801490 ,Pilbara,115.13106299254424,-22.508324984913376
E  0801493 ,Pilbara,115.0590593069446,-22.54450568281243
E  0801501 ,Pilbara,115.05577764260836,-22.682047075715317
E  0801516 ,Pilbara,116.28713552482904,-22.282855115228422
E  0801537 ,Pilbara,116.1916322788935,-22.150022792137186
E  0801645 ,Gascoyne,114.99722209262906,-23.495370007565597
E  0801649 ,Pilbara,116.15237111172203,-22.517859420239972
E  0801650 ,Pilbara,117.06246149531876,-22.975020671490697
E  0801686 ,Pilbara,116.01172013612094,-21.596450375049994
E  0801712 ,Pilbara,116.7205542755518,-22.8350033494044
E  0801745 ,Pilbara,116.2440167283877,-22.593533523913436
E  0801771 ,Pilbara,115.72777509793015,-21.680543037720657
E  0801772 ,Pilbara,115.93541803950373,-21.712353088636835
E  0801826 ,Pilbara,116.04807660231172,-21.60448596819172
E  0801849 ,Pilbara,115.87677244024572,-21.19380255094098
E  0801987 ,Pilbara,115.50833664589042,-22.670831801414028
E  0801997 ,Pilbara,116.68333478811616,-22.80833353232787
E  0802000 ,Pilbara,116.16742088070112,-22.567425007963482
E  0802017 ,Pilbara,115.26875158658989,-22.143748421989958
E  0802051 ,Pilbara,115.04444383427459,-22.04721812465849
E  0802053 ,Pilbara,115.0416777686388,-21.99174369831754
E  0802065 ,Pilbara,116.28649830964764,-22.549926758006727
E  0802081 ,Pilbara,115.05833367791301,-22.40833208872159
E  0802089 ,Pilbara,116.14583815209329,-21.237499626062775
E  0802137 ,Pilbara,115.96309478876421,-21.81785759682385
E  0802205 ,Pilbara,114.98333378637336,-22.533331161581508
E  0802225 ,Pilbara,115.34166725192026,-22.758332893827266
P  4502982 ,Pilbara,119.81006303264252,-21.29321145485965
P  4502983 ,Pilbara,122.14563646159311,-21.82269819768902
P  4502987 ,Pilbara,118.92732305836486,-21.120049550778287
P  4502988 ,Pilbara,118.93447533849009,-21.040280363707534
E  0802328 ,Pilbara,114.94915698839665,-21.684429785949995
P  4502989 ,Pilbara,118.92227487476171,-21.12636048514353
E  0802329 ,Pilbara,114.90596997648578,-21.730784433032028
M  3900701 ,Goldfields-Esperance,121.9450440544713,-28.66327387482621
E  0802361 ,Pilbara,116.34028753936796,-21.033330372686624
E  0802385 ,Pilbara,115.18095770921917,-22.158290659335588
E  0802386 ,Pilbara,115.08055534649853,-22.419444197961514
E  0802387 ,Pilbara,115.27750107269048,-22.40583391957736
E  0802390 ,Gascoyne,114.06406750071118,-22.252733776968984
E  0802499 ,Pilbara,116.12738195221623,-22.517858300653156
E  0802537 ,Pilbara,115.4104164711967,-22.839582449633095
E  0802556 ,Pilbara,116.30000023903534,-22.591668216560507
E  0802558 ,Pilbara,116.2583332894671,-22.558334701755232
E  0802560 ,Pilbara,116.2750000216312,-22.57500131665564
E  0802571 ,Pilbara,115.27944071232069,-22.951661865282247
E  0802601 ,Pilbara,115.656668780947,-22.853330946061448
P  4502990 ,Pilbara,118.9248614449171,-21.123282272877677
P  4502991 ,Pilbara,118.9300133869119,-21.117041044518736
P  4502992 ,Pilbara,118.9238763729419,-21.062788596139473
E  0802642 ,Pilbara,114.92559712380871,-21.705921694180706
E  0802647 ,Pilbara,116.11169850085304,-21.306058271308515
E  0802659 ,Pilbara,116.12196984372007,-22.60530216612951
E  0802663 ,Pilbara,115.56131813987037,-23.043564430093777
E  0802674 ,Pilbara,115.32083315475033,-22.73749819277532
E  0802717 ,Pilbara,114.99166702928858,-21.849999683363883
E  0802718 ,Pilbara,115.00764102226249,-21.882645655758818
E  0802719 ,Pilbara,115.00831333274057,-21.941650431384716
E  0802721 ,Pilbara,116.75833492406883,-22.791666660507737
E  0802729 ,Pilbara,116.14317619327764,-21.663086734925635
E  0802730 ,Pilbara,116.13668705379708,-21.812281818597278
E  0803040 ,Pilbara,117.25000009200684,-23.71666671019975
E  0802741 ,Pilbara,115.88302582245126,-21.149756233789823
E  0802766 ,Pilbara,116.08333345213825,-21.80833332905184
E  0802774 ,Pilbara,115.15192289798598,-22.612178142335164
E  0802775 ,Pilbara,115.3263883245469,-23.040274035415685
E  0802785 ,Pilbara,115.37023368394317,-22.777378143907693
E  0802787 ,Pilbara,115.23690393600444,-22.884522387958217
E  0802791 ,Pilbara,116.21136004613334,-22.641663924278767
E  0802799 ,Pilbara,115.16511651087556,-22.243339480681946
E  0802801 ,Pilbara,116.09166713759608,-22.716666367926017
E  0802808 ,Pilbara,115.70833429222019,-23.449999222308154
E  0802812 ,Pilbara,116.47738126204924,-22.796429120612878
E  0802827 ,Pilbara,116.6250016670759,-22.79166655186337
E  0802833 ,Pilbara,116.48863354769765,-22.756816786623034
E  0802836 ,Pilbara,115.88057120348343,-21.35407528691429
E  0802845 ,Pilbara,115.75833407502527,-23.37499995294856
E  0802856 ,Pilbara,115.26666702094508,-22.449999435825006
E  0802863 ,Pilbara,115.03711632807655,-22.037954072419375
E  0802868 ,Pilbara,115.1809424962009,-21.741049893513882
E  0802873 ,Pilbara,116.75000110461473,-22.858333563919317
E  0802887 ,Pilbara,116.29222704188602,-20.95833572093453
E  0802889 ,Pilbara,116.88192972425762,-22.908340853662477
E  0802894 ,Pilbara,116.93958181097756,-23.412499659739943
E  0802896 ,Pilbara,115.19101698535641,-22.413051425034237
E  0802900 ,Pilbara,116.97499952916905,-23.275000607968497
P  4502993 ,Pilbara,118.92693416462673,-21.051903956638263
E  0802913 ,Gascoyne,115.20000133728949,-23.484520315464344
E  0802921 ,Pilbara,115.56832534904501,-23.168615249869553
E  0802938 ,Pilbara,117.06666661088465,-23.608333671345765
E  0802939 ,Pilbara,116.57777826813806,-22.786111279266006
E  0802943 ,Pilbara,115.80758227524103,-21.27041119856082
E  0802945 ,Pilbara,116.10119219805924,-22.90476091325571
E  0802946 ,Pilbara,117.00166588768676,-23.448334411134965
E  0802947 ,Pilbara,117.0529613540739,-23.432150992705253
E  0903003 ,Gascoyne,115.9916667540434,-24.87500000501663
E  0802948 ,Pilbara,117.10230994286177,-23.017665435235685
E  0802978 ,Pilbara,115.55833402935951,-22.316665171515112
P  4502994 ,Pilbara,118.90399549130902,-21.110987234145814
E  0802986 ,Pilbara,114.97885511551853,-21.803643061957832
E  0802990 ,Pilbara,116.27500109428958,-22.691666965207236
E  0802992 ,Pilbara,117.15000034595562,-23.583333303743107
E  0802993 ,Pilbara,115.68611124478988,-22.780555268381107
E  0802994 ,Pilbara,117.06503337273327,-23.601956370415433
E  0802996 ,Mid West,117.59166712776496,-23.783332642799632
E  0802997 ,Pilbara,117.08395814841542,-23.565976336237554
